Category,Realdash Name,Units,Target ID,id,type,unit,name,desc,Idle Expected,Cruise Expected,WOT Expected,Accessport Monitor,match_status,match_score,match_name,candidate_match_name,candidate_match_score
ENGINE/ECU INPUTS,Enginebit: TPS deaccel active,On/Off,61,,,,,,,,,,UNMATCHED,,,Electronic Throttle Control (ETC) Motor Relay,0.49
ENGINE/ECU INPUTS,Enginebit: Warmup,On/Off,59,,,,,,,,,,UNMATCHED,,,Engine Speed,0.55
ENGINE/ECU INPUTS,Flex Fuel Correction,%,20,,,,,,,,,,UNMATCHED,,,A/F Correction #1 (4-byte)*,0.75
ENGINE/ECU INPUTS,Fuel Pressure,Bar,202,P27,Standard,kPa,Fuel Tank Pressure,P27,-,-,-,Fuel Tank Press,MATCHED,0.86,Fuel Tank Pressure,Fuel Tank Pressure,0.86
ENGINE/ECU INPUTS,Fuel Temperature,Celsius,499,P31,Standard,C,Fuel Temperature,P31,-,-,-,Fuel Temp,MATCHED,1.00,Fuel Temperature,Fuel Temperature,1.00
ENGINE/ECU INPUTS,Fuel Trim 1,%,17,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.52
ENGINE/ECU INPUTS,Fuel Trim 2,%,18,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.52
ENGINE/ECU INPUTS,Fuel flow,-,490,,,,,,,,,,UNMATCHED,,,Fuel Level,0.63
ENGINE/ECU INPUTS,Ignition Dwell,-,26,,,,,,,,,,UNMATCHED,,,Ignition Switch,0.69
ENGINE/ECU INPUTS,Intake Air Temperature,Celsius,27,P11,Standard,C,Intake Air Temperature,P11,Ambient + Heatsoak,~Ambient,~Ambient,Intake Temp,MATCHED,1.00,Intake Air Temperature,Intake Air Temperature,1.00
ENGINE/ECU INPUTS,Knock Advance Retard,deg,28,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Max Primary*,0.55
ENGINE/ECU INPUTS,Knock Percentage,%,29,,,,,,,,,,UNMATCHED,,,Fine Learning Knock Correction (4-byte)*,0.56
ENGINE/ECU INPUTS,Lambda 1,-,254,,,,,,,,,,UNMATCHED,,,Engine Idle Speed User Adjustment (A/C on),0.45
ENGINE/ECU INPUTS,Lambda 2,-,255,,,,,,,,,,UNMATCHED,,,Engine Idle Speed User Adjustment (A/C on),0.45
ENGINE/ECU INPUTS,Lambda Target 1,-,256,,,,,,,,,,UNMATCHED,,,Idle Speed Map Selection*,0.56
ENGINE/ECU INPUTS,Lambda Target 2,-,257,,,,,,,,,,UNMATCHED,,,Idle Speed Map Selection*,0.56
ENGINE/ECU INPUTS,Long Term Fuel Trim 1,%,102,,,,,,,,,,UNMATCHED,,,CL/OL Fueling*,0.47
ENGINE/ECU INPUTS,Long Term Fuel Trim 2,%,104,,,,,,,,,,UNMATCHED,,,CL/OL Fueling*,0.47
ENGINE/ECU INPUTS,MAF g/s,g/sec,30,,,,,,,,,,UNMATCHED,,,Mass Airflow Sensor Voltage,0.62
ENGINE/ECU INPUTS,Manifold Absolute Pressure,kPa,31,P7,Standard,kPa,Manifold Absolute Pressure,P7-Pressure value calculated from the manifold absolute pressure sensor (absolute value),30 - 50 kPa,40 - 90 kPa,200 - 230 kPa (Stock),Manifold Abs. Pressure,MATCHED,1.00,Manifold Absolute Pressure,Manifold Absolute Pressure,1.00
ENGINE/ECU INPUTS,Manifold Absolute Pressure dot,-,32,P7,Standard,kPa,Manifold Absolute Pressure,P7-Pressure value calculated from the manifold absolute pressure sensor (absolute value),30 - 50 kPa,40 - 90 kPa,200 - 230 kPa (Stock),Manifold Abs. Pressure,MATCHED,0.95,Manifold Absolute Pressure,Manifold Absolute Pressure,0.95
ENGINE/ECU INPUTS,Number of CEL codes,-,66,,,,,,,,,,UNMATCHED,,,Sub Accelerator Sensor,0.46
ENGINE/ECU INPUTS,Pulse Width 1,ms,35,,,,,,,,,,UNMATCHED,,,Fuel Injector #1 Pulse Width (4-byte)*,0.65
ENGINE/ECU INPUTS,Pulse Width 2,ms,36,,,,,,,,,,UNMATCHED,,,Fuel Injector #1 Pulse Width (4-byte)*,0.65
ENGINE/ECU INPUTS,RPM,RPM,37,P8,Standard,rpm,Engine Speed,P8,700 - 800 rpm,2000 - 3500 rpm,Redline (~7000 rpm),RPM,MATCHED,1.00,Engine Speed,Engine Speed,1.00
ENGINE/ECU INPUTS,Rotating Error Code,-,105,,,,,,,,,,UNMATCHED,,,Boost Error*,0.53
ENGINE/ECU INPUTS,Spark Advance,deg,38,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Additive*,0.48
ENGINE/ECU INPUTS,TPS dot,-,41,,,,,,,,,,UNMATCHED,,,Test Mode Signal,0.50
ENGINE/ECU INPUTS,Throttle Position,%,42,E38,Fixed Addr,%,Throttle Plate Opening Angle (4-byte)*,E38-Actual throttle plate opening percentage. More accurate than the standard Throttle Opening Angle % SSM parameter.,0 - 5 %,10 - 40 %,100 %,Throttle Pos,MATCHED,0.83,Throttle Plate Opening Angle (4-byte)*,Throttle Plate Opening Angle (4-byte)*,0.83
ENGINE/ECU INPUTS,Total Fuel Correction,-,43,,,,,,,,,,UNMATCHED,,,A/F Correction #1 (4-byte)*,0.78
ENGINE/ECU INPUTS,VSS1,KPH,81,,,,,,,,,,UNMATCHED,,,A/F Sensor #1,0.33
ENGINE/ECU INPUTS,VSS2,KPH,99,,,,,,,,,,UNMATCHED,,,Roughness Monitor Cylinder #2,0.32
ENGINE/ECU INPUTS,VVT: Exhaust Cam Position 1,deg,493,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.55
ENGINE/ECU INPUTS,VVT: Exhaust Cam Position 2,deg,495,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.55
ENGINE/ECU INPUTS,VVT: Exhaust Cam Target Position,deg,497,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.53
ENGINE/ECU INPUTS,VVT: Intake Cam Position 1,deg,492,,,,,,,,,,UNMATCHED,,,Camshaft Position Signal,0.52
ENGINE/ECU INPUTS,VVT: Intake Cam Position 2,deg,494,,,,,,,,,,UNMATCHED,,,Camshaft Position Signal,0.52
ENGINE/ECU INPUTS,VVT: Intake Cam Target Position,deg,496,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.55
ENGINE/ECU INPUTS,Vehicle Max Speed,KPH,408,P9,Standard,km/h,Vehicle Speed,P9,0,Constant,Increasing,Vehicle Speed,MATCHED,0.87,Vehicle Speed,Vehicle Speed,0.87
ENGINE/ECU INPUTS,Vehicle Speed,KPH,64,P9,Standard,km/h,Vehicle Speed,P9,0,Constant,Increasing,Vehicle Speed,MATCHED,1.00,Vehicle Speed,Vehicle Speed,1.00
TRANSMISSION,2nd Gear Start indicator (Transmission),On/Off,148,,,,,,,,,,UNMATCHED,,,Rear O2 Sensor Rich Signal,0.43
TRANSMISSION,4WD Active,On/Off,149,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Additive*,0.55
TRANSMISSION,4WD Low Range Active,On/Off,150,,,,,,,,,,UNMATCHED,,,A/F Learning Airflow Range (Current)*,0.48
TRANSMISSION,Downshift indicator (Transmission),On/Off,145,,,,,,,,,,UNMATCHED,,,Sub Accelerator Sensor,0.39
TRANSMISSION,Gear (Transmission),gear,139,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.60
TRANSMISSION,Lockup Active (Transmission),On/Off,143,,,,,,,,,,UNMATCHED,,,Knock Correction Advance (IAM only)*,0.43
TRANSMISSION,Low Range indicator (Transmission),On/Off,146,,,,,,,,,,UNMATCHED,,,Main Accelerator Sensor,0.42
TRANSMISSION,Oil Temperature (Transmission),Celsius,138,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.69
TRANSMISSION,Overdrive indicator (Transmission),On/Off,147,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.39
TRANSMISSION,Selected Gear (Transmission),gear,140,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.46
TRANSMISSION,Shifter Position (Transmission),gear,141,,,,,,,,,,UNMATCHED,,,Camshaft Position Signal,0.64
TRANSMISSION,Throttle Position (Transmission),%,137,,,,,,,,,,UNMATCHED,,,Throttle Opening Angle,0.58
TRANSMISSION,Tuning Map (Transmission),-,142,,,,,,,,,,UNMATCHED,,,Map Ratio (Primary)*,0.50
TRANSMISSION,Upshift indicator (Transmission),On/Off,144,,,,,,,,,,UNMATCHED,,,Sub Accelerator Sensor,0.41
TRANSMISSION,Vehicle Speed (Transmission),KPH,136,,,,,,,,,,UNMATCHED,,,Vehicle Speed,0.67
BODY ELECTRONICS,ABS Warning,On/Off,273,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.60
BODY ELECTRONICS,AC Active,On/Off,335,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Additive*,0.67
BODY ELECTRONICS,AC Set Temperature (Zone 1),Celsius,175,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.73
BODY ELECTRONICS,AC Set Temperature (Zone 2),Celsius,312,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.73
BODY ELECTRONICS,AC Set Temperature (Zone 3),Celsius,313,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.73
BODY ELECTRONICS,AC Set Temperature (Zone 4),Celsius,314,,,,,,,,,,UNMATCHED,,,Fuel Temperature,0.73
BODY ELECTRONICS,Air Flow Defrost Active (Zone 1),On/Off,315,,,,,,,,,,UNMATCHED,,,Mass Airflow Sensor Voltage,0.47
BODY ELECTRONICS,Air Flow Defrost Active (Zone 2),On/Off,318,,,,,,,,,,UNMATCHED,,,Mass Airflow Sensor Voltage,0.47
BODY ELECTRONICS,Air Flow Defrost Active (Zone 3),On/Off,321,,,,,,,,,,UNMATCHED,,,Mass Airflow Sensor Voltage,0.47
BODY ELECTRONICS,Air Flow Defrost Active (Zone 4),On/Off,324,,,,,,,,,,UNMATCHED,,,Mass Airflow Sensor Voltage,0.47
BODY ELECTRONICS,Air Flow Face Active (Zone 1),On/Off,317,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.51
BODY ELECTRONICS,Air Flow Face Active (Zone 2),On/Off,320,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #2,0.51
BODY ELECTRONICS,Air Flow Face Active (Zone 3),On/Off,323,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.47
BODY ELECTRONICS,Air Flow Face Active (Zone 4),On/Off,326,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.47
BODY ELECTRONICS,Air Flow Feet Active (Zone 1),On/Off,316,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.50
BODY ELECTRONICS,Air Flow Feet Active (Zone 2),On/Off,319,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #2,0.50
BODY ELECTRONICS,Air Flow Feet Active (Zone 3),On/Off,322,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.46
BODY ELECTRONICS,Air Flow Feet Active (Zone 4),On/Off,325,,,,,,,,,,UNMATCHED,,,Radiator Fan Relay #1,0.46
BODY ELECTRONICS,Air Recirculation Active,On/Off,336,,,,,,,,,,UNMATCHED,,,Map Ratio (Alternate)*,0.54
BODY ELECTRONICS,Airbag Warning,On/Off,272,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.57
BODY ELECTRONICS,Ambient Temperature,Celsius,173,P2,Standard,C,Coolant Temperature,P2,80 - 96 C,80 - 96 C,80 - 96 C,Coolant Temp,MATCHED,0.85,Coolant Temperature,Coolant Temperature,0.85
BODY ELECTRONICS,Brake Fluid Level,%,178,,,,,,,,,,UNMATCHED,,,Fuel Level,0.59
BODY ELECTRONICS,Brake LF temperature,Celsius,244,P31,Standard,C,Fuel Temperature,P31,-,-,-,Fuel Temp,MATCHED,0.84,Fuel Temperature,Fuel Temperature,0.84
BODY ELECTRONICS,Brake LR temperature,Celsius,246,P11,Standard,C,Intake Air Temperature,P11,Ambient + Heatsoak,~Ambient,~Ambient,Intake Temp,MATCHED,0.86,Intake Air Temperature,Intake Air Temperature,0.86
BODY ELECTRONICS,Brake RF temperature,Celsius,245,P11,Standard,C,Intake Air Temperature,P11,Ambient + Heatsoak,~Ambient,~Ambient,Intake Temp,MATCHED,0.86,Intake Air Temperature,Intake Air Temperature,0.86
BODY ELECTRONICS,Brake RR temperature,Celsius,247,P11,Standard,C,Intake Air Temperature,P11,Ambient + Heatsoak,~Ambient,~Ambient,Intake Temp,MATCHED,0.86,Intake Air Temperature,Intake Air Temperature,0.86
BODY ELECTRONICS,Brake pedal position,%,230,,,,,,,,,,UNMATCHED,,,Accelerator Pedal Angle,0.69
BODY ELECTRONICS,Clutch pedal position,%,231,,,,,,,,,,UNMATCHED,,,Accelerator Pedal Angle,0.67
BODY ELECTRONICS,Coolant Level,%,177,,,,,,,,,,UNMATCHED,,,Coolant Temperature,0.62
BODY ELECTRONICS,Cruise Control Accelerate,On/Off,735,,,,,,,,,,UNMATCHED,,,Cruise Control Resume/Accelerate Switch,0.78
BODY ELECTRONICS,Cruise Control Active,On/Off,169,,,,,,,,,,UNMATCHED,,,Cruise Control System Status,0.69
BODY ELECTRONICS,Cruise Control Autospeed Active,On/Off,737,,,,,,,,,,UNMATCHED,,,Cruise Control Main Toggle Switch,0.62
BODY ELECTRONICS,Cruise Control Decelerate,On/Off,736,,,,,,,,,,UNMATCHED,,,Cruise Control Resume/Accelerate Switch,0.75
BODY ELECTRONICS,Cruise Control Set Value,KPH,171,,,,,,,,,,UNMATCHED,,,Cruise Control System Status,0.77
BODY ELECTRONICS,Distance to Obstacle,Kilometers,354,,,,,,,,,,UNMATCHED,,,Target Throttle Plate Position*,0.51
BODY ELECTRONICS,Door 1 Open,On/Off,481,,,,,,,,,,UNMATCHED,,,A/F Sensor #1 Current,0.48
BODY ELECTRONICS,Door 2 Open,On/Off,482,,,,,,,,,,UNMATCHED,,,Turbo Dynamics Proportional (4-byte)*,0.46
BODY ELECTRONICS,Door 3 Open,On/Off,483,,,,,,,,,,UNMATCHED,,,Turbo Dynamics Proportional (4-byte)*,0.46
BODY ELECTRONICS,Door 4 Open,On/Off,484,,,,,,,,,,UNMATCHED,,,Turbo Dynamics Proportional (4-byte)*,0.46
BODY ELECTRONICS,Door 5 Open,On/Off,485,,,,,,,,,,UNMATCHED,,,Turbo Dynamics Proportional (4-byte)*,0.46
BODY ELECTRONICS,Door 6 Open,On/Off,486,,,,,,,,,,UNMATCHED,,,Turbo Dynamics Proportional (4-byte)*,0.46
BODY ELECTRONICS,Door Ajar,On/Off,162,,,,,,,,,,UNMATCHED,,,Engine Idle Speed User Adjustment (A/C on),0.43
BODY ELECTRONICS,EV: Battery Charge Time,-,341,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.58
BODY ELECTRONICS,EV: Battery Charge Time Remaining,-,342,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.46
BODY ELECTRONICS,EV: Battery Level 1,%,478,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.59
BODY ELECTRONICS,EV: Battery Level 2,%,479,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.59
BODY ELECTRONICS,EV: Battery Voltage,v,339,P17,Standard,V,Battery Voltage,P17,13.5 - 14.5 V,13.5 - 14.5 V,13.5 - 14.5 V,Battery Voltage,MATCHED,0.88,Battery Voltage,Battery Voltage,0.88
BODY ELECTRONICS,EV: Charge Voltage,v,340,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.61
BODY ELECTRONICS,EV: Energy Consumption (W/hr),-,337,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.58
BODY ELECTRONICS,EV: Energy Consumption Average (Wh/distance),-,338,,,,,,,,,,UNMATCHED,,,Fuel Consumption (Est.),0.54
BODY ELECTRONICS,Engine Cooling Fan,On/Off,153,,,,,,,,,,UNMATCHED,,,Engine Load (4-Byte)*,0.50
BODY ELECTRONICS,Engine Oil Level,%,180,,,,,,,,,,UNMATCHED,,,Engine Speed,0.64
BODY ELECTRONICS,Front Fog Lights,On/Off,392,,,,,,,,,,UNMATCHED,,,Intake OCV Duty Right,0.49
BODY ELECTRONICS,Fuel Level,%,170,P35,Standard,V,Fuel Level,P35,-,-,-,Fuel Level,MATCHED,1.00,Fuel Level,Fuel Level,1.00
BODY ELECTRONICS,Fuel Pump 1,On/Off,182,P47,Standard,%,Fuel Pump Duty,P47,-,-,-,Fuel Pump Duty,MATCHED,0.80,Fuel Pump Duty,Fuel Pump Duty,0.80
BODY ELECTRONICS,Fuel Pump 2,On/Off,183,P47,Standard,%,Fuel Pump Duty,P47,-,-,-,Fuel Pump Duty,MATCHED,0.80,Fuel Pump Duty,Fuel Pump Duty,0.80
BODY ELECTRONICS,Fuel Pump 3,On/Off,184,P47,Standard,%,Fuel Pump Duty,P47,-,-,-,Fuel Pump Duty,MATCHED,0.80,Fuel Pump Duty,Fuel Pump Duty,0.80
BODY ELECTRONICS,Fuel Pump 4,On/Off,185,P47,Standard,%,Fuel Pump Duty,P47,-,-,-,Fuel Pump Duty,MATCHED,0.80,Fuel Pump Duty,Fuel Pump Duty,0.80
BODY ELECTRONICS,Gear,gear,200,,,,,,,,,,UNMATCHED,,,Gear (Calculated)*,0.47
BODY ELECTRONICS,Hazard Switch,On/Off,166,,,,,,,,,,UNMATCHED,,,Air Conditioning Switch,0.70
BODY ELECTRONICS,Heater Motor Level,-,172,,,,,,,,,,UNMATCHED,,,Electronic Throttle Control (ETC) Motor Relay,0.63
BODY ELECTRONICS,High Beam,On/Off,157,,,,,,,,,,UNMATCHED,,,Ignition Base Timing*,0.41
BODY ELECTRONICS,Hood Open,On/Off,487,,,,,,,,,,UNMATCHED,,,Estimated odometer,0.47
BODY ELECTRONICS,Horn,On/Off,165,,,,,,,,,,UNMATCHED,,,Blower Fan Switch,0.35
BODY ELECTRONICS,Ignition On,On/Off,167,,,,,,,,,,UNMATCHED,,,Ignition Base Timing*,0.77
BODY ELECTRONICS,Inside Temperature,°C,174,P31,Standard,C,Fuel Temperature,P31,-,-,-,Fuel Temp,MATCHED,0.83,Fuel Temperature,Fuel Temperature,0.83
BODY ELECTRONICS,Instrument Light Dimmer,-,810,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.51
BODY ELECTRONICS,Instrument Panel Lights,On/Off,186,,,,,,,,,,UNMATCHED,,,Intake VVT Advance Angle Right,0.57
BODY ELECTRONICS,Interior Lights,On/Off,187,,,,,,,,,,UNMATCHED,,,Intake OCV Current Right,0.56
BODY ELECTRONICS,Low Beam,On/Off,156,,,,,,,,,,UNMATCHED,,,Blow-By Leak Connector,0.48
BODY ELECTRONICS,Neutral Safety Switch,On/Off,489,,,,,,,,,,UNMATCHED,,,Neutral Position Switch,0.77
BODY ELECTRONICS,Odometer,Kilometers,310,P120,Standard,km,Estimated odometer,P120-Estimated odometer - increments every 2km,-,-,-,Odometer,MATCHED,1.00,Estimated odometer,Estimated odometer,1.00
BODY ELECTRONICS,Parking Brake,On/Off,164,,,,,,,,,,UNMATCHED,,,A/F Learning #1 B (Stored)*,0.50
BODY ELECTRONICS,Parking Lights,On/Off,155,,,,,,,,,,UNMATCHED,,,Intake VVT Advance Angle Right,0.57
BODY ELECTRONICS,Rear Defrost Active,On/Off,808,,,,,,,,,,UNMATCHED,,,Rear Defogger Switch,0.62
BODY ELECTRONICS,Rear Fog Lights,On/Off,158,,,,,,,,,,UNMATCHED,,,Rear O2 Sensor,0.71
BODY ELECTRONICS,Reverse Lights,On/Off,159,,,,,,,,,,UNMATCHED,,,Stop Light Switch,0.52
BODY ELECTRONICS,Seat Belt Warning,On/Off,168,,,,,,,,,,UNMATCHED,,,Tumble Valve Position Sensor Right,0.52
BODY ELECTRONICS,Seat Cooler (Zone 1),-,331,,,,,,,,,,UNMATCHED,,,A/F Correction #1 (4-byte)*,0.50
BODY ELECTRONICS,Seat Cooler (Zone 2),-,332,,,,,,,,,,UNMATCHED,,,AT Vehicle ID,0.45
BODY ELECTRONICS,Seat Cooler (Zone 3),-,333,,,,,,,,,,UNMATCHED,,,A/F Correction #3 (16-bit ECU),0.50
BODY ELECTRONICS,Seat Cooler (Zone 4),-,334,,,,,,,,,,UNMATCHED,,,AT Vehicle ID,0.45
BODY ELECTRONICS,Seat Heater (Zone 1),-,327,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.48
BODY ELECTRONICS,Seat Heater (Zone 2),-,328,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.48
BODY ELECTRONICS,Seat Heater (Zone 3),-,329,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.48
BODY ELECTRONICS,Seat Heater (Zone 4),-,330,,,,,,,,,,UNMATCHED,,,Battery Voltage,0.48
BODY ELECTRONICS,Starter Motor,On/Off,154,,,,,,,,,,UNMATCHED,,,Starter Switch,0.67
BODY ELECTRONICS,Steering Wheel 1,On/Off,188,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.61
BODY ELECTRONICS,Steering Wheel 2,On/Off,189,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.61
BODY ELECTRONICS,Steering Wheel 3,On/Off,190,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.61
BODY ELECTRONICS,Steering Wheel 4,On/Off,191,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.61
BODY ELECTRONICS,Steering Wheel 5,On/Off,192,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.61
BODY ELECTRONICS,Steering Wheel 6,On/Off,193,,,,,,,,,,UNMATCHED,,,Power Steering Switch,0.61
BODY ELECTRONICS,Steering Wheel Angle (degrees),deg,229,,,,,,,,,,UNMATCHED,,,A/F Learning Airflow Range (Current)*,0.46
